ID,elevation,canton,municipality,Latitude,Longitude,Done,Author,Date,Priority,kontakt,commentar
MP2-BE-GR-16,1320,BE,Grindelwald,46.62376084,7.989627825,1,MBTS,12.06.23,MP2,JA,
MP2-BE-GR-17,1325,BE,Grindelwald,46.64012719,8.009124538,1,MBTS,12.06.23,MP2,JA,stark beweidet
MP2-BE-GR-18,1330,BE,Grindelwald,46.63729477,8.052193211,,,,MP2,"NEIN, nicht geantwortet",
MP2-BE-GR-19,1340,BE,Grindelwald,46.64004312,8.007948179,,,,MP2,,
MP2-BE-GR-21,1360,BE,Grindelwald,46.61907885,7.990494052,,,,MP2,,
MP2-BE-GR-22,1380,BE,Grindelwald,46.6073008,8.025225172,,,,MP2,,
MP2-BE-GR-23,1400,BE,Grindelwald,46.64120025,8.061902766,,,,MP2,,
MP2-BE-GR-25,1430,BE,Grindelwald,46.63937574,8.082648289,,,,MP2,,
MP2-BE-GR-26,1580,BE,Grindelwald,46.65034959,8.066711041,,,,MP2,,
MP3-BE-GR-29,950,BE,Grindelwald,46.63901109,7.979726561,,,,MP3,,
MP3-BE-GR-30,985,BE,Grindelwald,46.62669135,8.015511651,,,,MP3,,
MP3-BE-GR-32,1000,BE,Grindelwald,46.61976893,8.014654493,,,,MP3,,
MP3-BE-GR-33,1010,BE,Grindelwald,46.62781484,8.041769951,,,,MP3,,
MP3-BE-GR-34,1035,BE,Grindelwald,46.61448897,8.026869651,,,,MP3,,
MP3-BE-GR-35,1060,BE,Grindelwald,46.61357796,8.029079001,,,,MP3,,
MP3-BE-GR-36,1070,BE,Grindelwald,46.6163142,8.02179801,,,,MP3,,
MP3-BE-GR-37,1080,BE,Grindelwald,46.62957248,8.015020043,,,,MP3,,
MP3-BE-GR-38,1160,BE,Grindelwald,46.61685148,8.004440383,,,,MP3,,
MP3-BE-GR-39,1160,BE,Grindelwald,46.63608192,8.008559481,,,,MP3,,
MP3-BE-GR-40,1200,BE,Grindelwald,46.6328515,8.041956703,,,,MP3,,
MP3-BE-GR-41,1280,BE,Grindelwald,46.60868351,8.01871354,,,,MP3,,
MP3-BE-GR-42,1350,BE,Grindelwald,46.62474527,7.990682417,,,,MP3,,
MP3-BE-GR-43,1385,BE,Grindelwald,46.64061386,8.053928796,,,,MP3,,
MP3-BE-GR-44,1420,BE,Grindelwald,46.64260838,8.016595723,,,,MP3,,
MP3-BE-GR-45,1500,BE,Grindelwald,46.64438751,8.020533296,,,,MP3,"JA, negativ eingestellt, fast drohend",
MP3-BE-GR-46,1580,BE,Grindelwald,46.65026324,8.066056871,,,,MP3,,
MP4-BE-BE-7,822,BE,Beatenberg,46.68708621,7.815596281,,,,MP4,,
MP4-BE-BE-8,1233,BE,Beatenberg,46.70092644,7.823112361,,,,MP4,,
MP4-GL-MA-7,1496,GL,Matt,46.97039153,9.183134105,,,,MP4,,
MP4-GR-BO-3,759,GR,Bonaduz,46.80440394,9.365887999,,,,MP4,,
MP4-GR-BO-4,1042,GR,Bonaduz,46.79734209,9.357773783,,,,MP4,,
MP4-GR-FL-5,1223,GR,Flerden,46.70566922,9.404767823,,,,MP4,,
MP4-GR-FL-6,1606,GR,Flerden,46.70777879,9.385100216,,,,MP4,,
MP4-GR-FL-7,1745,GR,Flerden,46.70703894,9.376798773,,,,MP4,,
MP4-GR-LA-10,1691,GR,La Punt-Chamues-ch,46.57895357,9.935474978,,,,MP4,,
MP4-GR-LA-11,1727,GR,La Punt-Chamues-ch,46.57120857,9.929127278,,,,MP4,,
MP4-GR-LA-12,1769,GR,La Punt-Chamues-ch,46.57232133,9.938298308,,,,MP4,,
MP4-GR-LA-13,1780,GR,La Punt-Chamues-ch,46.58317776,9.921168448,,,,MP4,,
MP4-GR-PE-6,1558,GR,Peist,46.8373325,9.681779166,,,,MP4,,
MP4-GR-RH-5,759,GR,Rhaezuens,46.7922238,9.394275286,,,,MP4,,
MP4-GR-RH-6,1132,GR,Rhaezuens,46.77916197,9.391964263,,,,MP4,,
MP4-GR-SP-4,1513,GR,Spluegen,46.55749538,9.333612708,,,,MP4,,
MP4-GR-SP-5,1630,GR,Spluegen,46.55113506,9.337302812,,,,MP4,,
MP5-GL-MA-8,1375,GL,Matt,46.96691981,9.188399633,,,,MP5,,
MP5-GR-RH-7,721,GR,Rhaezuens,46.79220137,9.395584616,,,,MP5,,
MP6-GL-MA-10,879,GL,Matt,46.95603467,9.167645336,,,,MP6,,
MP6-GL-MA-11,934,GL,Matt,46.95499624,9.176810109,,,,MP6,,
MP6-GL-MA-12,1408,GL,Matt,46.96942193,9.17775551,,,,MP6,,
MP6-GL-MA-9,864,GL,Matt,46.94608285,9.171266443,,,,MP6,,
MP6-GR-FL-8,1072,GR,Flerden,46.70641084,9.413401932,,,,MP6,,
MP6-GR-FL-9,1634,GR,Flerden,46.70862043,9.382742076,,,,MP6,,
MP6-GR-LA-14,1685,GR,La Punt-Chamues-ch,46.57326319,9.917476078,,,,MP6,,
MP6-GR-LA-15,1690,GR,La Punt-Chamues-ch,46.57216476,9.926561179,,,,MP6,,
MP6-GR-LA-16,1700,GR,La Punt-Chamues-ch,46.57766369,9.938456679,,,,MP6,,
MP6-GR-LA-17,1701,GR,La Punt-Chamues-ch,46.58295405,9.927057651,,,,MP6,,
MP6-GR-MA-1,1132,GR,Masein,46.70011599,9.413171557,,,,MP6,,
MP6-GR-MO-1,1889,GR,Mon,46.65317577,9.522533597,,,,MP6,,
MP6-GR-PE-10,2137,GR,Peist,46.85862853,9.697098009,,,,MP6,,
MP6-GR-PE-11,2196,GR,Peist,46.86160995,9.682791536,,,,MP6,,
MP6-GR-PE-7,1549,GR,Peist,46.83676416,9.692045177,,,,MP6,,
MP6-GR-PE-8,1720,GR,Peist,46.84179854,9.683973609,,,,MP6,,
MP6-GR-PE-9,2108,GR,Peist,46.85788446,9.689195499,,,,MP6,,
MP6-GR-SP-6,1447,GR,Spluegen,46.56087453,9.346776267,,,,MP6,,
MP6-GR-SP-7,1458,GR,Spluegen,46.5521762,9.328801022,,,,MP6,,
MP6-GR-SP-8,1478,GR,Spluegen,46.54801316,9.308500817,,,,MP6,,
MP6-GR-ST-1,1472,GR,St. Peter-Pagig,46.83771659,9.662124522,,,,MP6,,
MP6-GR-TI-4,1313,GR,Tiefencastel,46.66780954,9.538358441,,,,MP6,,
MP6-GR-TI-5,1434,GR,Tiefencastel,46.66188028,9.538554033,,,,MP6,,
MP6-GR-TI-6,2003,GR,Tiefencastel,46.65954205,9.518858345,,,,MP6,,
MP6-LU-GR-6,691,LU,Greppen,47.05377165,8.438916052,,,,MP6,,
MP7-BE-BE-10,1292,BE,Beatenberg,46.70163184,7.822563705,,,,MP7,,
MP7-BE-BE-11,1339,BE,Beatenberg,46.70485601,7.82569238,,,,MP7,,
MP7-BE-BE-9,1281,BE,Beatenberg,46.69410032,7.772644935,,,,MP7,,
MP7-GL-MA-13,867,GL,Matt,46.95513487,9.169089104,,,,MP7,,
MP7-GL-MA-14,889,GL,Matt,46.95243747,9.167529538,,,,MP7,,
MP7-GL-MA-15,1364,GL,Matt,46.96654718,9.186384223,,,,MP7,,
MP7-GL-MA-16,1462,GL,Matt,46.97292459,9.177813937,,,,MP7,,
MP7-GR-BO-5,880,GR,Bonaduz,46.79481983,9.347202391,,,,MP7,,
MP7-GR-BO-6,1071,GR,Bonaduz,46.79732008,9.359083253,,,,MP7,,
MP7-GR-FL-10,1106,GR,Flerden,46.7036904,9.414610368,,,,MP7,,
MP7-GR-FL-11,1174,GR,Flerden,46.70379306,9.411157822,,,,MP7,,
MP7-GR-FL-12,1475,GR,Flerden,46.70495024,9.393728029,,,,MP7,,
MP7-GR-FL-13,1666,GR,Flerden,46.70889732,9.380750632,,,,MP7,,
MP7-GR-LA-18,1686,GR,La Punt-Chamues-ch,46.57317786,9.921387429,,,,MP7,,
MP7-GR-LA-19,1687,GR,La Punt-Chamues-ch,46.57441704,9.9237893,,,,MP7,,
MP7-GR-LA-20,1696,GR,La Punt-Chamues-ch,46.58205494,9.927016271,,,,MP7,,
MP7-GR-LA-21,1723,GR,La Punt-Chamues-ch,46.57186917,9.936650965,,,,MP7,,
MP7-GR-LA-22,1739,GR,La Punt-Chamues-ch,46.57459843,9.93870602,,,,MP7,,
MP7-GR-MO-2,1872,GR,Mon,46.6513773,9.5224642,,,,MP7,,
MP7-GR-PE-12,1494,GR,Peist,46.83453201,9.686907665,,,,MP7,,
MP7-GR-PE-13,1497,GR,Peist,46.83553417,9.681704211,,,,MP7,,
MP7-GR-PE-14,1563,GR,Peist,46.83735821,9.680468865,,,,MP7,,
MP7-GR-PE-15,1604,GR,Peist,46.83815444,9.685747605,,,,MP7,,
